Прізвище,Ім’я,По-батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Міщенко,Єлисей,Іванович,Чоловіча,1971-12-14,Стоматолог,село Лисичанськ,"узвіз Ольги Благовидової, буд. 851 кв. 0, Ланівці, 01814",090 297 49 86,myron09@example.net
Луценко,Панас,Михайлович,Чоловіча,1984-04-04,Штукатур,село Білопілля,"площа Балтський 3-й, буд. 9 кв. 242, Таврійськ, 51712",050 218 19 07,vadymnalyvaiko@example.net
Охріменко,Тимофій,Іванович,Чоловіча,1980-10-25,Правник,хутір Теребовля,"провулок Павла Клепацького, буд. 703, Валки, 44080",006 905 94 63,sofiiatychyna@example.net
Конопля,Артем,Іванович,Чоловіча,1962-11-09,Няня,місто Горлівка,"шосе Віталія Нестеренка, буд. 1 кв. 4, Звенигородка, 67411",888 03 82,hohol-ianovskapylyp@example.com
Верхола,Алевтин,Петрович,Чоловіча,1954-10-29,Акушер,селище Старий Крим,"провулок Улицька, буд. 008, Острог, 36675",006 739-16-07,telychenkoboleslav@example.com
Свистун,Гліб,Петрович,Чоловіча,1986-04-05,Провізор,село Мерефа,"провулок Південна дорога, буд. 3 кв. 16, Могилів-Подільський, 58572",230-25-87,klyment28@example.net
Дрозденко,Веніямин,Андрійович,Чоловіча,1950-10-24,Геолог,місто Лиман,"сквер 2-га Лінія 6-й ст. Люстдорфської дороги, буд. 7, Валки, 90872",+380 46 923 53 10,klavdiia51@example.net
Таран,Нестор,Павлович,Чоловіча,1991-07-11,Реставратор,хутір Чигирин,"провулок Лінія 38-ма, буд. 317 кв. 059, Хутір-Михайлівський, 57368",+380 56 335 56 90,maryna46@example.net
Артеменко,Лесь,Іванович,Чоловіча,1945-09-10,Адвокат,місто Семенівка,"проспект Об'їзна дорога, буд. 955, Київ, 71984",187 00 92,fshyian@example.net
Авдєєнко,Руслан,Петрович,Чоловіча,1956-08-02,Лікар,село Баштанка,"сквер Станційна 3-тя, буд. 84 кв. 67, Борислав, 98443",+380 (00) 088-27-58,pvyshniak@example.com
Матвієнко,Георгій,Володимирович,Чоловіча,1988-05-21,Няня,селище Гнівань,"парк Івана Луценка, буд. 84 кв. 7, Сорокине, 61578",032 941-13-38,boleslav61@example.org
Тичина,Омелян,Олександрович,Чоловіча,2007-01-15,Фольклорист,селище Зміїв,"парк Станційна 1-ша, буд. 265, Лебедин, 02155",+380 (98) 648-13-29,prykhodkodmytro@example.com
Жученко,Кирило,Володимирович,Чоловіча,1990-12-02,Дантист,місто Прип'ять,"набережна Юзефа Крашевського, буд. 243, Шахтарськ, 92798",068 199-18-70,kyrylobairak@example.org
Медведенко,Олег,Іванович,Чоловіча,1993-11-24,Доцент,місто Київ,"узвіз Проектна 2-га, буд. 12 кв. 2, Чуднів, 26870",+380 18 832-43-70,vadym37@example.net
Микитюк,Михайло,Юрійович,Чоловіча,1979-11-28,Науковець,село Конотоп,"проспект 6-та Лінія Марії Демченко, буд. 34, Міусинськ, 79016",+380 86 177-64-94,virashevchenko@example.com
Даценко,Панас,Олександрович,Чоловіча,2004-08-10,Модельєр,місто Гірник,"вулиця Краснослобідська, буд. 287, Апостолове, 42344",047 548-59-66,myroslav53@example.org
Авдєєнко,Опанас,Олександрович,Чоловіча,2007-10-28,Кушнір,хутір Радомишль,"проспект Грушева, буд. 40, Рогатин, 58664",846-56-00,makarkovaliuk@example.org
Червоненко,Трохим,Юрійович,Чоловіча,2001-04-08,Кінолог,хутір Ківерці,"набережна Лятошинського, буд. 443, Березівка, 95042",249-00-01,jshevchenko@example.net
Єфименко,Марко,Юрійович,Чоловіча,1958-08-24,Кінолог,місто Путивль,"провулок Хімічний 3-й, буд. 32 кв. 8, Благовіщенське, 46689",+380 99 365-58-03,ievhen58@example.com
Приймак,Валерій,Юрійович,Чоловіча,2006-04-02,Кушнір,хутір Тлумач,"шосе Морський, буд. 71, Макіївка, 19706",+380 70 464-53-70,lubenetsvenedykt@example.com
Петлюра,Адам,Андрійович,Чоловіча,1945-12-17,Державний службовець,селище Тетіїв,"площа Ярморочна площа, буд. 6, Сімферополь, 60000",+380 (62) 077-30-48,khrystynadashkevych@example.org
Лукаш,Геннадій,Анатолійович,Чоловіча,1957-05-28,Програміст,селище Зміїв,"узвіз Рівності 2-й, буд. 755 кв. 16, Христинівка, 01078",+380 80 856-97-64,trokhym27@example.org
Худобʼяк,Ілля,Павлович,Чоловіча,1995-01-16,Сантехнік,селище Новгород-Сіверський,"шосе Мала Арнаутська, буд. 57 кв. 138, Ізяслав, 08874",402-47-97,fzabara@example.net
Тарасенко,Орхип,Михайлович,Чоловіча,2003-05-09,Астрофізик,село Переяслав,"шосе Селекційна, буд. 690 кв. 66, Бориспіль, 37328",+380 32 597-86-49,ada37@example.com
Аверченко,Семен,Іванович,Чоловіча,1959-02-18,Психолог,хутір Білозерське,"вулиця Балтиморська, буд. 3 кв. 18, Шостка, 46856",961-51-22,andrusenkoaaron@example.net
Свириденко,Онисим,Анатолійович,Чоловіча,2000-11-22,Фізик,село Нетішин,"парк Лузанівський 1-й, буд. 39 кв. 53, Арциз, 13281",698-50-05,varvaramazepa@example.com
Дзиндра,Ігнат,Андрійович,Чоловіча,2000-06-09,Намотувальник,місто Зоринськ,"узвіз Скрипковий, буд. 503 кв. 0, Жовква, 28304",+380 22 130-50-68,myronzhuk@example.net
Ісаєвич,Миколай,Анатолійович,Чоловіча,1973-04-27,Клоун,село Горохів,"шосе Князівська, буд. 173 кв. 20, Святогірськ, 85307",014 075 89 40,tavdieienko@example.net
Баклан,Стефан,Андрійович,Чоловіча,1974-09-02,Дизайнер,селище Бунге,"площа Юхима Фесенка, буд. 4, Нікополь, 93036",702 56 81,mruban@example.org
Ільєнко,Іван,Володимирович,Чоловіча,1949-03-25,Провізор,хутір Сокологірськ,"шосе Решата Аметова, буд. 246, Ізюм, 06137",005 66 26,panteleimoncharnysh@example.net
Гавришкевич,Охрім,Анатолійович,Чоловіча,1940-06-08,Стиліст,місто Знам'янка,"площа Грузинська, буд. 2, П'ятихатки, 11242",+380 (13) 905-71-76,nadiia98@example.com
Ґерета,Нестор,Анатолійович,Чоловіча,1978-09-04,Адвокат,селище Старобільськ,"вулиця Місячний, буд. 874, Горохів, 57415",+380 64 302-35-94,zakharchenkodaryna@example.net
Абрамчук,Устим,Олександрович,Чоловіча,2002-07-29,Піаніст,місто Привілля,"сквер Князівська, буд. 9, Помічна, 08896",+380 63 948-72-60,kozachenkosymon@example.com
Гаєвський,Станіслав,Павлович,Чоловіча,1993-06-07,Історик,місто Глобине,"узвіз Обліпихова, буд. 72, Кальміуське, 28306",260-73-58,nveres@example.org
Романець,Опанас,Сергійович,Чоловіча,1945-12-25,Ветеринар,село Шахтарськ,"набережна Петра Калнишевського, буд. 353 кв. 3, Дунаївці, 24382",+380 (72) 069-61-87,balabanoles@example.com
Корсун,Демид,Іванович,Чоловіча,1993-04-19,Кіноактор,селище Пологи,"узвіз Степна, буд. 120, Виноградів, 09019",006 585-70-09,albert18@example.org
Пустовіт,Аврелій,Павлович,Чоловіча,2004-08-05,Ветеринар,село Сновськ,"провулок 12-та Лінія 6-й ст. Люстдорфської дороги, буд. 9, Підгайці, 37371",042 413 70 98,les83@example.net
Чайка,Геннадій,Юрійович,Чоловіча,1991-01-03,Геолог,хутір Приморськ,"сквер Мелодійний, буд. 3 кв. 60, Мелітополь, 47130",009 491-81-30,azar54@example.com
Цісик,Валерій,Олександрович,Чоловіча,2003-10-26,Випробувач,хутір Шпола,"парк Соляний 2-й, буд. 2 кв. 82, Дубляни, 84911",+380 95 123-10-79,perebyinisparmen@example.com
Остапчук,Йосип,Володимирович,Чоловіча,1972-12-02,Бухгалтер,місто Богуслав,"сквер Лятошинського, буд. 96 кв. 432, Покровськ, 11426",+380 88 620 35 11,zynovii10@example.com
Дутка,Варфоломій,Олександрович,Чоловіча,1967-03-27,Бібліограф,селище Сімферополь,"проспект Південна, буд. 689 кв. 423, Кременчук, 11089",+380 90 097 94 94,sviatoslavfurs@example.net
Базилевич,Вʼячеслав,Павлович,Чоловіча,1948-05-16,Бізнесмен,місто Вінниця,"шосе Нафтовиків 3-й, буд. 6, Бучач, 02642",926-85-74,hennadiiasaula@example.com
Твердохліб,Олег,Юрійович,Чоловіча,1949-06-08,Детектив,село Довжанськ,"узвіз Тупиковий, буд. 73 кв. 9, Міусинськ, 33731",+380 60 290-00-06,anzhelakolesnychenko@example.com
Барабаш,Омелян,Петрович,Чоловіча,2008-01-13,Бібліограф,село Новогродівка,"площа Олександра Мурашка, буд. 4 кв. 77, Козятин, 31149",+380 98 148-09-42,hannazaichenko@example.org
Шовкопляс,Зиновій,Петрович,Чоловіча,1974-12-28,Водій,хутір Суходільськ,"проспект Дальня, буд. 9, Верхівцеве, 78035",033 727 49 12,vlokhostap@example.net
Затула,Болеслав,Володимирович,Чоловіча,1959-01-01,Продюсер,село Ананьїв,"парк Митна, буд. 513, Генічеськ, 37533",397-12-41,usykpylyp@example.org
Акименко,Іван,Іванович,Чоловіча,1940-12-23,Публіцист,хутір Перещепине,"сквер Дубовий гай, буд. 51, Христинівка, 87005",+380 35 595 73 06,yiakymchuk@example.org
Овчаренко,Богуслав,Володимирович,Чоловіча,1956-06-23,Флорист,місто Обухів,"шосе 19-та Лінія, буд. 106, Тростянець, 78309",682 65 40,hermankovaliuk@example.org
Макаренко,Вадим,Юрійович,Чоловіча,1999-04-16,Агроном,селище Підгайці,"парк Соляний 7-й, буд. 96 кв. 6, Вишгород, 40270",068 704 83 03,rubetszynovii@example.org
Сич,Остап,Павлович,Чоловіча,1953-04-05,Флорист,хутір Чорноморськ,"узвіз Карпенка-Карого, буд. 2, Самбір, 52434",546-75-56,kkolodub@example.com
Слюсар,Омелян,Юрійович,Чоловіча,2000-08-10,Каскадер,селище Скадовськ,"сквер Лінійний, буд. 1, Нова Каховка, 83173",+380 (00) 606-52-03,terezagereta@example.com
Баклан,Демид,Юрійович,Чоловіча,1992-09-28,Бізнесмен,село Хорол,"набережна В’ячеслава Чорновола, буд. 53 кв. 792, Мелітополь, 37328",+380 (97) 421-69-46,kderhach@example.com
Назаренко,Ярослав,Андрійович,Чоловіча,1974-06-10,Професор,село Помічна,"шосе Побратимів, буд. 093 кв. 7, Калуш, 25085",708 66 62,bazavluchenkooksana@example.org
Петренко,Костянтин,Володимирович,Чоловіча,1969-07-28,Кіноактор,місто Підгородне,"площа Любомира Гузара, буд. 95, Прип'ять, 26328",+380 (90) 031-85-97,hordii95@example.com
Гаврилець,Стефан,Анатолійович,Чоловіча,1950-11-22,Музичний редактор,хутір Козятин,"парк Регенсбург, буд. 86, Костянтинівка, 66967",830 49 53,mariiavlasiuk@example.org
Яременко,Федір,Юрійович,Чоловіча,1999-10-27,Журналіст,селище Стрий,"набережна Танкістів, буд. 81 кв. 2, Святогірськ, 23475",012 252-81-79,bashtanbohdanna@example.net
Андрійчук,Ілля,Олександрович,Чоловіча,1970-06-01,Секретар,село Новогродівка,"вулиця Хімічний 2-й, буд. 6 кв. 075, Славутич, 82975",073 251 44 59,sirchenkohryhorii@example.com
Дерегус,Антон,Павлович,Чоловіча,1956-02-11,Нотаріус,селище Берегове,"проспект Квітнева, буд. 2 кв. 28, Валки, 62548",037 706 54 22,iakovenkoanastasiia@example.net
Верес,Захар,Павлович,Чоловіча,1967-05-25,Акушер,хутір Жовті Води,"вулиця Нерубайська, буд. 3, Ананьїв, 52253",+380 (32) 089-52-71,arkadiiandroshchuk@example.com
Тихий,Андрій,Олександрович,Чоловіча,1978-07-27,Кухар,місто Рахів,"проспект Чорноморський 5-й, буд. 05 кв. 028, Одеса, 68039",097 798 68 71,vladyslav22@example.net
Затовканюк,Левко,Петрович,Чоловіча,1940-07-15,Етнограф,селище Південне,"набережна Бригадна, буд. 5, Родинське, 96665",+380 88 763-19-83,saienkobohodar@example.net
Сімашкевич,Сергій,Сергійович,Чоловіча,1958-03-05,Громадський діяч,село Світлодарськ,"площа Космонавтів, буд. 42, Герца, 41210",066 440-62-60,volodymyr63@example.org
Шевченко,Ігор,Володимирович,Чоловіча,1991-06-08,Модельєр,місто Лебедин,"проспект Штурвальна, буд. 1, Моспине, 50028",032 970-17-38,irynadashenko@example.org
Корпанюк,Дан,Павлович,Чоловіча,2003-08-17,Провізор,село Городище,"сквер Кільовий, буд. 3 кв. 7, Радомишль, 53911",+380 64 500-40-97,oleshres@example.net
Піддубна,Омелян,Олександрович,Чоловіча,1953-09-30,Каскадер,селище Кальміуське,"набережна Валерія Лобановського, буд. 493 кв. 42, Сновськ, 73250",+380 04 426-97-23,lukianvernyhora@example.org
Забіла,Петро,Олександрович,Чоловіча,1946-04-22,Економіст,селище Родинське,"сквер Прилуцький, буд. 9 кв. 880, Зміїв, 46904",086 552-82-43,bohodarderhach@example.net
Опанасенко,Едуард,Володимирович,Чоловіча,1957-08-09,Астроном,хутір Алупка,"узвіз Гайова, буд. 678, Почаїв, 14116",199 24 68,zkolesnychenko@example.org
Акуленко,Франц,Михайлович,Чоловіча,1977-09-02,Модель,місто Бобринець,"шосе Таїрова, буд. 061, Жмеринка, 81876",+380 61 128-68-62,hskorobohatko@example.net
Захарченко,Юстим,Іванович,Чоловіча,1967-01-22,Музичний редактор,хутір Березань,"узвіз Лінія 46-та, буд. 8 кв. 0, Пустомити, 66763",313-01-38,aronetsamvrosii@example.com
Карпенко,Пантелеймон,Сергійович,Чоловіча,2007-06-16,Краєзнавець,місто Ананьїв,"сквер Урожайна, буд. 5, Тячів, 60753",053 024 78 42,kyrylotytarenko@example.org
Лукаш,Амвросій,Володимирович,Чоловіча,2007-03-27,Актор,селище Ялта,"набережна Кропивницького, буд. 6, Гребінка, 87583",+380 44 488-42-10,varfolomiiopanasenko@example.org
Товстоліс,Аврелій,Петрович,Чоловіча,1997-12-22,Етнограф,село Дунаївці,"сквер Князя Ярослава Мудрого, буд. 014 кв. 475, Рогатин, 07640",868-59-42,nverhun@example.org
Джунь,Геннадій,Петрович,Чоловіча,1976-08-08,Машиніст,село Семенівка,"площа Кривобалківська, буд. 11, Кобеляки, 64450",+380 (18) 517-83-52,rfomenko@example.org
Чубай,Давид,Петрович,Чоловіча,1976-11-12,Бібліограф,селище Заліщики,"площа Клинова, буд. 128 кв. 103, Корюківка, 19343",068 01 66,amvrosiibatiuk@example.net
Чайка,Єлисей,Андрійович,Чоловіча,1951-04-20,Літературознавець,місто Мена,"вулиця 19-та Лінія, буд. 3 кв. 7, Ковель, 87530",+380 69 460 44 06,bbabych@example.net
Бевз,Герман,Михайлович,Чоловіча,1998-07-30,Зоолог,місто Севастополь,"площа Бісквітний, буд. 4, Гірське, 88901",226-80-96,sviatoslaviashchenko@example.net
Макогон,Аркадій,Петрович,Чоловіча,2003-07-04,Диригент,село Скалат,"провулок Болгарська, буд. 7, Моспине, 17962",+380 (60) 306-56-60,zkolisnychenko@example.org
Ємельяненко,Гліб,Андрійович,Чоловіча,2002-10-17,Композитор,село Узин,"парк Докова, буд. 966 кв. 541, Дубно, 95211",038 027 53 89,wviter@example.net
Коваленко,Алевтин,Павлович,Чоловіча,1997-06-13,Кур'єр,місто Калинівка,"набережна Авангардна, буд. 6 кв. 65, Молочанськ, 78671",094 425 47 17,panteleimoniakymenko@example.com
Калениченко,Ілля,Іванович,Чоловіча,1998-06-02,Сценарист,село Тячів,"набережна Михайла Божія, буд. 9 кв. 69, Баранівка, 18874",+380 59 698-60-05,lhodunok@example.com
Гречко,Степан,Михайлович,Чоловіча,1990-09-30,Антрополог,селище Середина-Буда,"вулиця Академіка Заболотного, буд. 066 кв. 05, Корюківка, 48563",092 475 21 50,iaremahordii@example.org
Кармалюк,Зорян,Іванович,Чоловіча,1981-01-22,Пекар,селище Кам'янка-Дніпровська,"площа Василя Кандинського 1-й, буд. 1 кв. 632, Южне, 25875",+380 (13) 331-24-23,viravernydub@example.org
Ткаченко,Едуард,Юрійович,Чоловіча,1948-08-09,Ріелтор,місто Прилуки,"сквер Контрадмірала Остроградського, буд. 9, Докучаєвськ, 02910",+380 (39) 922-34-16,parmenzharko@example.org
Чуприна,Лукʼян,Михайлович,Чоловіча,1963-09-02,Драматург,село Берислав,"сквер Чубаївський, буд. 379 кв. 7, Новояворівськ, 71776",+380 50 309-49-92,vladyslavtverdokhlib@example.net
Ільєнко,Ростислав,Андрійович,Чоловіча,1991-03-09,Маркетолог,місто Великі Мости,"шосе Скляний 2-й, буд. 6 кв. 156, Сокиряни, 28289",946-28-12,iurchyshynapanas@example.org
Сірченко,Святослав,Петрович,Чоловіча,1952-06-16,Філолог,хутір Бориспіль,"площа Ольгіївська, буд. 105, Радехів, 61136",138-58-48,artem78@example.org
Козаченко,Ігнат,Сергійович,Чоловіча,1981-10-28,Фольклорист,хутір Старокостянтинів,"парк Чорноморський 4-й, буд. 40, Пустомити, 95750",081 841-47-73,lsomko@example.com
Базилевич,Антон,Петрович,Чоловіча,2002-05-19,Актор,селище Переяслав,"проспект Соляний 5-й, буд. 389, Суми, 60928",087 854 57 08,okseniia16@example.net
Макогон,Демʼян,Володимирович,Чоловіча,1949-12-28,Соціолог,селище Рубіжне,"парк Джерельна, буд. 606, Глиняни, 60110",+380 03 821-73-95,baransolomon@example.org
Яковенко,Мирослав,Петрович,Чоловіча,1994-05-05,Єгер,місто Рудки,"узвіз Яблунева, буд. 92, Березівка, 72902",673 07 50,datsenkotereza@example.com
Бандера,Олекса,Сергійович,Чоловіча,1957-05-30,Краєзнавець,місто Новгород-Сіверський,"узвіз Іспанський, буд. 82 кв. 856, Павлоград, 49273",+380 00 442-89-49,jonufriienko@example.net
Твердохліб,Феофан,Павлович,Чоловіча,2002-10-28,Геолог,місто Сніжне,"провулок Олександра Болдирєва, буд. 5 кв. 99, Краматорськ, 29356",+380 45 628-64-04,teodordatsenko@example.org
Лисенко,Остап,Володимирович,Чоловіча,1952-04-28,Географ,селище Перещепине,"сквер Острозька, буд. 6 кв. 4, Бахмач, 01286",011 134-68-81,kyrylo59@example.com
Скиба,Марко,Олександрович,Чоловіча,1963-11-19,Інженер,село Перещепине,"проспект Водопровідна, буд. 973, Івано-Франківськ, 24962",+380 11 005-34-31,riabetszynovii@example.net
Худобʼяк,Леон,Андрійович,Чоловіча,2006-06-07,Гірничий інженер,селище Буча,"проспект Наявний 6-й, буд. 7 кв. 70, Великі Мости, 92639",+380 34 230 71 34,martachernenko@example.org
Шило,Максим,Юрійович,Чоловіча,1970-04-21,Географ,місто Черкаси,"парк Журавлина, буд. 0 кв. 272, Новодружеськ, 90925",042 535 75 28,vernyhoraoleksa@example.org
Яремчук,Августин,Петрович,Чоловіча,1996-05-27,Співак,місто Біляївка,"шосе Бахмутська, буд. 03, Нетішин, 30617",031 217-39-01,atamanchukleopold@example.com
Пʼятаченко,Олександр,Володимирович,Чоловіча,1961-04-08,Ріелтор,селище Ірміно,"парк Панаса Саксаганського, буд. 6 кв. 18, Чорнобиль, 46294",038 973-20-67,kamilla64@example.org
Якименко,Володимир,Анатолійович,Чоловіча,1944-02-02,Стиліст,місто Берислав,"парк Іспанський, буд. 61 кв. 436, Шумськ, 01495",+380 43 466-15-68,babychenkoiryna@example.net
Каденюк,Хома,Іванович,Чоловіча,1974-06-08,Маркетолог,місто Бахмач,"шосе Музична, буд. 61 кв. 9, Бібрка, 22916",+380 68 194 70 43,ymatviienko@example.net
Гаєвський,Святослав,Михайлович,Чоловіча,1980-03-20,Астрофізик,місто Свалява,"вулиця Вчительська, буд. 58, Кролевець, 95163",734-61-29,xzharko@example.net
Литвиненко,Мирослав,Михайлович,Чоловіча,1992-08-24,Гінеколог,хутір Борислав,"узвіз Польова, буд. 03, Біла Церква, 48056",+380 23 132 55 17,vitalii72@example.net
Фурс,Демʼян,Юрійович,Чоловіча,1958-04-21,Конструктор,селище Залізне,"провулок Мельницька, буд. 757 кв. 7, Горішні Плавні, 23857",+380 (53) 807-85-07,vasyl85@example.com
Лесик,Тарас,Сергійович,Чоловіча,1964-02-14,Круп'є,хутір Полонне,"проспект Пересипська 3-тя, буд. 28, Бердичів, 55801",+380 (32) 897-88-40,symon29@example.org
Шелест,Мирон,Анатолійович,Чоловіча,1976-10-02,Бібліотекар,село Українка,"набережна Наявний 5-й, буд. 49 кв. 56, Копичинці, 28603",+380 (28) 015-07-89,zhuravelielysaveta@example.org
Тригуб,Лесь,Юрійович,Чоловіча,1996-07-24,Маркетолог,місто Брянка,"проспект Український 2-й, буд. 48 кв. 0, Дружківка, 38051",089 401-87-73,zatovkaniukoleksa@example.net
Пʼятаченко,Богуслав,Володимирович,Чоловіча,1957-04-14,Живописець,місто Чоп,"площа Круговий, буд. 013 кв. 2, Боково-Хрустальне, 02080",088 528-57-87,tytarenkovarvara@example.net
Яковенко,Іван,Сергійович,Чоловіча,1947-03-25,Психолог,місто Українськ,"площа Волинський, буд. 3, Самбір, 14799",082 522 71 38,iaremkiviosyp@example.org
Яценко,Прохір,Іванович,Чоловіча,1979-03-30,Акушер,село Комарно,"провулок Музична, буд. 72, П'ятихатки, 67325",+380 21 302-04-98,svitlanamamchur@example.org
